id,name,price,user_id,description,condition,delivery_cost,delivery_origin,preparatory_days,category_id,size_id,delivery_way,brand
28,フレグランス,13900,1,おしゃれ,傷や汚れあり,着払い(購入者負担),46,2~3日で発送,838,,ゆうメール,シャネル
29,ブレスレット,46400,1,おしゃれ,傷や汚れあり,着払い(購入者負担),1,1~2日で発送,122,,未定,シャネル
30,フレグランス,28000,2,おしゃれ,目立った傷や汚れなし,着払い(購入者負担),21,2~3日で発送,839,,未定,シャネル
31,バックパック,24800,1,おしゃれ,未使用に近い,着払い(購入者負担),35,4~7日で発送,105,,ゆうメール,ルイヴィトン
32,財布,22700,2,おしゃれ,未使用に近い,着払い(購入者負担),36,4~7日で発送,138,,未定,ルイヴィトン
33,ボストンバッグ,26100,1,おしゃれ,目立った傷や汚れなし,着払い(購入者負担),46,4~7日で発送,106,,クロネコヤマト,ルイヴィトン
34,フレグランス,5600,1,おしゃれ,傷や汚れあり,着払い(購入者負担),26,4~7日で発送,838,,クロネコヤマト,ルイヴィトン
35,マフラー,25800,1,おしゃれ,傷や汚れあり,送料込み(出品者負担),34,4~7日で発送,147,,ゆうパック,ルイヴィトン
36,キーホルダー,20600,1,おしゃれ,やや傷や汚れあり,送料込み(出品者負担),6,4~7日で発送,143,,ゆうパック,ルイヴィトン
37,パーカー,37400,1,おしゃれ,未使用に近い,着払い(購入者負担),32,4~7日で発送,214,5,クロネコヤマト,シュプリーム
38,スーツケース,49100,1,おしゃれ,やや傷や汚れあり,着払い(購入者負担),34,1~2日で発送,275,,未定,シュプリーム
39,キャップ,28900,1,おしゃれ,新品、未使用,着払い(購入者負担),46,4~7日で発送,283,,未定,シュプリーム
40,脚立,42000,1,おしゃれ,新品、未使用,着払い(購入者負担),47,4~7日で発送,550,,ゆうメール,シュプリーム
41,パーカー,19000,1,おしゃれ,新品、未使用,着払い(購入者負担),44,1~2日で発送,214,4,クロネコヤマト,シュプリーム
42,キャップ,49600,2,おしゃれ,新品、未使用,送料込み(出品者負担),36,4~7日で発送,283,,ゆうメール,シュプリーム
43,スニーカー,45500,2,おしゃれ,やや傷や汚れあり,送料込み(出品者負担),14,2~3日で発送,255,,クロネコヤマト,ナイキ
44,パーカー,46900,2,おしゃれ,目立った傷や汚れなし,送料込み(出品者負担),15,4~7日で発送,16,4,ゆうメール,ナイキ
45,スニーカー,9300,1,おしゃれ,傷や汚れあり,着払い(購入者負担),18,2~3日で発送,255,,ゆうパック,ナイキ
46,スニーカー,9900,1,おしゃれ,やや傷や汚れあり,着払い(購入者負担),16,1~2日で発送,255,,ゆうメール,ナイキ
